Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary
Avastin ,Bevacizumab ,1,"$24,781,798.00","137,343","4,594",892,$180.44,"$5,394.38","$27,782.28"
Avc ,Sulfanilamide ,1,"$37,985.03","21,391",164,104,$1.78,$231.62,$365.24
Aveed ,Testosterone Undecanoate ,1,"$499,148.01","1,671",557,176,$298.71,$896.14,"$2,836.07"
Avelox ,Moxifloxacin HCl ,1,"$171,134.11","6,140",482,299,$27.87,$355.05,$572.35
Avelox IV ,Moxifloxacin In NaCl (Iso-Osm) ,1,"$90,715.99","408,553",366,192,$0.22,$247.86,$472.48
Aviane ,Levonorgestrel-Ethin Estradiol ,1,"$159,480.94","312,408","8,405","1,806",$0.51,$18.97,$88.31
Avodart ,Dutasteride ,1,"$23,559,119.33","4,373,971","100,044","31,840",$5.39,$235.49,$739.92
Avonex ,Interferon Beta-1a ,1,"$294,670,428.66","51,210","46,549","5,562","$5,754.19","$6,330.33","$52,979.22"
Avonex ,Interferon Beta-1a/Albumin ,1,"$33,845,489.24","23,454","5,296",732,"$1,443.06","$6,390.76","$46,237.01"
Avonex Pen ,Interferon Beta-1a ,1,"$317,952,188.95","55,401","49,495","5,776","$5,739.11","$6,423.93","$55,047.12"
Avycaz ,Ceftazidime/Avibactam ,1,"$1,361,901.84","144,841",371,117,$9.40,"$3,670.89","$11,640.19"
Axert ,Almotriptan Malate ,1,"$444,239.49","10,513",750,295,$42.28,$592.32,"$1,505.90"
Axiron ,Testosterone ,1,"$24,534,604.58","4,061,835","31,361","9,267",$6.04,$782.33,"$2,647.52"
Aygestin ,Norethindrone Acetate ,1,"$10,322.30","2,700",67,23,$3.82,$154.06,$448.80
Azacitidine ,Azacitidine ,2,"$2,921,892.19","6,722",665,154,$434.62,"$4,393.82","$18,973.33"
Azactam ,Aztreonam ,1,"$573,017.87","172,339","1,499",582,$3.51,$382.27,$984.57
Azactam-Iso-Osmotic Dextrose ,Aztreonam/Dextrose-Water ,1,"$208,925.18","218,029",521,190,$0.94,$401.01,"$1,099.61"
Azasan ,Azathioprine ,1,"$1,317,984.99","125,727","2,099",565,$10.35,$627.91,"$2,332.72"
Azasite ,Azithromycin ,1,"$7,254,999.13","113,388","36,142","18,330",$63.98,$200.74,$395.80
Azathioprine ,Azathioprine ,7,"$21,120,769.82","43,108,895","445,024","84,524",$0.49,$47.46,$249.88
Azelastine HCl ,Azelastine HCl ,7,"$70,584,763.98","39,407,174","1,296,570","560,285",$2.65,$54.44,$125.98
Azelex ,Azelaic Acid ,1,"$1,673,012.37","154,622","3,767","2,032",$10.82,$444.12,$823.33
Azilect ,Rasagiline Mesylate ,1,"$216,648,569.03","10,881,059","270,872","44,201",$19.92,$799.82,"$4,901.44"
Azithromycin ,Azithromycin ,14,"$66,287,117.99","55,369,996","7,920,266","5,714,875",$1.24,$8.37,$11.60
Azopt ,Brinzolamide ,1,"$133,455,335.81","5,377,387","433,077","108,933",$24.82,$308.16,"$1,225.11"
Azor ,Amlodipine Bes/Olmesartan Med ,1,"$104,347,176.85","13,218,593","274,462","54,139",$7.90,$380.19,"$1,927.39"
Aztreonam ,Aztreonam ,2,"$3,200,619.84","1,021,334","5,401","2,171",$3.39,$592.60,"$1,474.26"
Azulfidine ,Sulfasalazine ,1,"$356,074.58","285,167","1,208",303,$1.25,$294.76,"$1,175.16"
Azurette ,Desog-E.Estradiol/E.Estradiol ,1,"$123,868.01","144,984","3,323",689,$0.85,$37.28,$179.78
B-D Single Use Alcohol Swab ,Alcohol Antiseptic Pads ,1,"$3,122.05","95,383",919,269,$0.03,$3.40,$11.61
BCG (Tice Strain) ,BCG Live ,1,"$398,311.64","2,736",770,450,$145.58,$517.29,$885.14
Bacitracin ,Bacitracin ,3,"$10,726,495.54","602,714","122,708","82,348",$23.62,$87.41,$130.26
Bacitracin-Polymyxin ,Bacitracin/Polymyxin B Sulfate ,1,"$700,233.48","144,286","39,157","28,532",$4.85,$17.88,$24.54
Baclofen ,Baclofen ,10,"$98,659,594.04","377,958,243","4,181,246","1,047,478",$0.25,$23.60,$94.19
Bactrim Ds ,Sulfamethoxazole/Trimethoprim ,2,"$24,856.08","9,924",325,211,$2.47,$76.48,$117.80
Bactroban ,Mupirocin ,1,"$12,764.70","5,066",112,82,$2.52,$113.97,$155.67
Bactroban ,Mupirocin Calcium ,1,"$180,161.76","31,009",610,407,$5.81,$295.35,$442.66
Bactroban Nasal ,Mupirocin Calcium ,1,"$1,054,224.75","63,370","5,628","4,837",$16.64,$187.32,$217.95
Balsalazide Disodium ,Balsalazide Disodium ,3,"$20,371,843.93","36,662,486","118,977","24,256",$0.55,$171.23,$839.87
Balziva ,Norethindrone-Ethinyl Estrad ,1,"$72,751.49","91,306","2,437",446,$0.80,$29.85,$163.12
Banzel ,Rufinamide ,1,"$61,751,056.60","5,635,561","24,884","2,249",$14.63,"$2,481.56","$27,457.12"
Baraclude ,Entecavir ,1,"$10,961,688.17","346,323","7,964","1,553",$40.10,"$1,376.40","$7,058.40"
Bd Insulin Syringe Micro-Fine ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$1,430.95","5,904",71,21,$0.24,$20.15,$68.14
Bd Insulin Syringe Micro-Fine ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$4,014.99","15,273",246,99,$0.26,$16.32,$40.56
Bd Insulin Syringe Ult-Fine II ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$17,177.42","64,110",593,314,$0.27,$28.97,$54.71
Bd Insulin Syringe Ult-Fine II ,"Syringe And Needle,Insulin,1ml ",1,"$43,649.52","163,737","1,527",854,$0.27,$28.59,$51.11
Bd Insulin Syringe Ult-Fine II ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$65,928.75","248,157","2,144","1,409",$0.27,$30.75,$46.79
Bd Insulin Syringe Ultra-Fine ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$6,081.43","22,270",240,133,$0.27,$25.34,$45.73
Bd Ultra-Fine Pen Needle ,"Pen Needle, Diabetic ",1,"$169,201,143.79","457,624,765","3,274,253","1,089,657",$0.37,$51.68,$155.28
Beconase Aq ,Beclomethasone Dipropionate ,1,"$2,198,755.21","215,617","6,480","2,259",$10.20,$339.31,$973.33
Belladonna-Opium ,Opium/Belladonna Alkaloids ,1,"$556,172.82","22,424","1,025",515,$24.63,$542.61,"$1,079.95"
Belsomra ,Suvorexant ,1,"$43,689,850.04","4,598,512","150,302","47,836",$9.50,$290.68,$913.33
Benazepril HCl ,Benazepril HCl ,11,"$28,153,714.14","209,001,181","3,167,301","650,858",$0.13,$8.89,$43.26
Benazepril-Hydrochlorothiazide ,Benazepril/Hydrochlorothiazide ,5,"$35,314,118.48","31,881,511","476,247","100,196",$1.11,$74.15,$352.45
Benicar ,Olmesartan Medoxomil ,1,"$437,580,264.27","68,215,902","1,369,404","274,306",$6.44,$319.54,"$1,595.23"
Benicar HCT ,Olmesartan/Hydrochlorothiazide ,1,"$267,075,036.65","38,807,121","780,230","158,083",$6.89,$342.30,"$1,689.46"
Benlysta ,Belimumab ,1,"$8,612,441.10","10,388","3,182",388,"$1,008.28","$2,706.61","$22,197.01"
Bentyl ,Dicyclomine HCl ,1,"$81,125.32","142,202","1,107",324,$0.57,$73.28,$250.39
Benzaclin ,Clindamycin Phos/Benzoyl Perox ,1,"$252,645.03","28,756",608,348,$8.86,$415.53,$725.99
Benzonatate ,Benzonatate ,5,"$331,763.87","827,425","27,106","19,343",$0.41,$12.24,$17.15
Benztropine Mesylate ,Benztropine Mesylate ,11,"$24,585,958.62","122,632,127","2,262,869","297,279",$0.22,$10.86,$82.70
Bepreve ,Bepotastine Besilate ,1,"$11,747,829.66","347,011","47,314","19,575",$33.85,$248.30,$600.14
Berinert ,C1 Esterase Inhibitor ,1,"$44,741,957.03","15,980",624,99,"$2,799.87","$71,701.85","$451,938.96"
Besivance ,Besifloxacin HCl ,1,"$35,372,083.65","1,300,187","257,254","185,634",$27.21,$137.50,$190.55
Betadine ,Povidone-Iodine ,1,"$1,869.77","2,948",102,61,$0.63,$18.33,$30.65
Betagan ,Levobunolol HCl ,1,"$59,186.97","5,675",531,140,$10.43,$111.46,$422.76
Betamethasone Acetate-Sod Phos ,Betameth Acet/Betamet Sod Phos ,1,"$27,689.38","47,594",716,492,$0.58,$38.67,$56.28
Betamethasone Dipropionate ,Betamethasone Dipropionate ,4,"$33,611,941.81","24,488,284","514,326","282,886",$1.42,$65.35,$118.82
Betamethasone Dipropionate ,Betamethasone/Propylene Glyc ,8,"$18,369,041.77","14,378,818","284,928","168,454",$1.25,$64.47,$109.04
Betamethasone Valerate ,Betamethasone Valerate ,6,"$12,346,157.98","13,480,984","269,631","155,344",$0.84,$45.79,$79.48
Betapace ,Sotalol HCl ,1,"$1,632,579.06","110,210","1,055",228,$14.79,"$1,547.47","$7,160.43"
Betapace Af ,Sotalol HCl ,1,"$636,357.93","69,419",691,140,$9.23,$920.92,"$4,545.41"
Betaseron ,Interferon Beta-1b ,1,"$233,342,042.52","527,073","35,184","4,165",$442.71,"$6,632.05","$56,024.50"
Betaxolol HCl ,Betaxolol HCl ,4,"$2,633,688.64","966,779","39,063","9,687",$5.97,$67.42,$271.88
Bethanechol Chloride ,Bethanechol Chloride ,8,"$15,594,942.08","24,396,639","250,110","52,776",$0.64,$62.35,$295.49
Betimol ,Timolol ,1,"$5,429,529.39","256,095","32,644","10,557",$21.19,$166.33,$514.31
Betoptic S ,Betaxolol HCl ,1,"$9,516,159.59","355,566","26,713","6,980",$26.76,$356.24,"$1,363.35"
Bexarotene ,Bexarotene ,1,"$55,415,906.48","279,249","2,705",519,$198.45,"$20,486.47","$106,774.39"
Beyaz ,Drospir/Eth Estra/Levomefol Ca ,1,"$78,558.41","14,683",422,90,$5.35,$186.16,$872.87
Biaxin ,Clarithromycin ,1,"$123,747.82","12,861",354,125,$9.62,$349.57,$989.98
Bicalutamide ,Bicalutamide ,12,"$10,303,110.54","15,395,998","345,606","85,362",$0.67,$29.81,$120.70
Bicillin C-R ,Pen G Benz/Pen G Procaine ,1,"$122,105.02","2,620",809,483,$46.60,$150.93,$252.81
Bicillin L-A ,Penicillin G Benzathine ,1,"$2,333,767.24","39,440","5,226","2,855",$59.58,$446.57,$817.43
Bidil ,Isosorbibe Dinit/Hydralazine ,1,"$13,866,434.12","4,734,025","47,106","11,187",$2.93,$294.37,"$1,239.51"
Biltricide ,Praziquantel ,1,"$595,051.71","7,119",683,546,$83.59,$871.23,"$1,089.84"
Bimatoprost ,Bimatoprost ,1,"$2,378,933.83","63,493","16,699","5,281",$37.47,$142.46,$450.47
Binosto ,Alendronate Sodium ,1,"$982,960.93","21,911","4,336",971,$44.86,$226.70,"$1,012.32"
Bisoprolol Fumarate ,Bisoprolol Fumarate ,6,"$22,257,592.70","41,360,549","719,672","149,524",$0.54,$30.93,$148.86
Bisoprolol-Hydrochlorothiazide ,Bisoprol/Hydrochlorothiazide ,3,"$11,325,137.00","54,416,276","833,881","169,671",$0.21,$13.58,$66.75
Bivigam ,Immun Glob G(IgG)/Gly/IgA Ov50 ,1,"$15,536,983.73","1,170,800","1,373",228,$13.27,"$11,316.08","$68,144.67"
Bleph-10 ,Sulfacetamide Sodium ,1,"$20,331.96","1,275",210,186,$15.95,$96.82,$109.31
Blephamide ,Sulfacetamide/Prednisolone ,1,"$1,062,597.66","45,120","6,382","4,263",$23.55,$166.50,$249.26
Blephamide S.O.P. ,Sulfacetamide/Prednisolone ,1,"$406,234.12","12,050","3,309","2,574",$33.71,$122.77,$157.82
Boniva ,Ibandronate Sodium ,2,"$1,973,448.41","11,341","5,260","1,632",$174.35,$375.18,"$1,209.22"
Boostrix Tdap ,"Diphth,Pertuss(Acell),Tet Vac ",1,"$17,653,398.40","162,746","293,388","292,091",$108.48,$60.17,$60.44
Bosulif ,Bosutinib ,1,"$53,567,376.53","353,563","5,196",770,$216.94,"$10,309.35","$69,568.02"
Botox ,Onabotulinumtoxina ,1,"$29,180,157.85","38,348","22,938","10,614",$846.59,"$1,272.13","$2,749.21"
Breo Ellipta ,Fluticasone/Vilanterol ,1,"$373,163,116.91","74,897,956","1,100,656","293,898",$4.98,$339.04,"$1,269.70"
Briellyn ,Norethindrone-Ethinyl Estrad ,1,"$12,577.10","16,940",456,84,$0.74,$27.58,$149.73
Brilinta ,Ticagrelor ,1,"$206,411,345.11","40,427,631","532,899","119,064",$5.11,$387.34,"$1,733.62"
Brimonidine Tartrate ,Brimonidine Tartrate ,4,"$99,468,559.57","13,402,211","1,473,261","342,082",$7.64,$67.52,$290.77
Brintellix ,Vortioxetine Hydrobromide ,1,"$42,064,358.78","4,138,747","123,784","36,797",$10.16,$339.82,"$1,143.15"
Brisdelle ,Paroxetine Mesylate ,1,"$1,660,763.20","283,389","7,234","2,156",$5.86,$229.58,$770.30
Bromfed DM ,Brompheniramine/Pseudoephed/DM ,1,"$3,565.49","20,779",100,64,$0.17,$35.65,$55.71
Bromfenac Sodium ,Bromfenac Sodium ,3,"$6,069,867.81","95,046","40,981","19,019",$64.14,$148.11,$319.15
Bromocriptine Mesylate ,Bromocriptine Mesylate ,4,"$13,453,798.30","4,130,385","52,983","9,170",$3.26,$253.93,"$1,467.15"
Brovana ,Arformoterol Tartrate ,1,"$16,537,428.67","2,283,394","28,249","6,978",$7.24,$585.42,"$2,369.94"
Bss ,Balanced Salt Irrig Soln No.2 ,1,"$1,439.33","1,480",87,30,$0.97,$16.54,$47.98
Budesonide ,Budesonide ,5,"$64,481,180.59","16,962,827","221,402","46,358",$4.27,$291.24,"$1,390.94"
Budesonide EC ,Budesonide ,3,"$134,545,385.95","14,629,317","191,271","51,243",$9.19,$703.43,"$2,625.63"
Bumetanide ,Bumetanide ,6,"$70,121,507.65","98,655,685","1,538,147","332,554",$0.71,$45.59,$210.86
Bunavail ,Buprenorphine HCl/Naloxone HCl ,1,"$1,062,668.54","117,254","3,396",602,$9.09,$312.92,"$1,765.23"
Bupap ,Butalbital/Acetaminophen ,1,"$1,346,420.80","99,196","1,682",642,$13.57,$800.49,"$2,097.23"
Buphenyl ,Sodium Phenylbutyrate ,1,"$1,383,493.44","88,380",110,25,$15.65,"$12,577.21","$55,339.74"
Bupivacaine HCl ,Bupivacaine HCl ,1,"$3,247.48","68,500",143,57,$0.05,$22.71,$56.97
Bupivacaine HCl ,Bupivacaine HCl/PF ,1,"$3,182.77","29,531",341,243,$0.19,$9.33,$13.10
Buprenex ,Buprenorphine HCl ,1,"$1,231,334.34","84,315",435,39,$14.60,"$2,830.65","$31,572.68"
Buprenorphine HCl ,Buprenorphine HCl ,6,"$10,359,874.89","6,184,703","109,681","13,976",$1.68,$94.45,$741.26
Buprenorphine-Naloxone ,Buprenorphine HCl/Naloxone HCl ,5,"$28,481,962.95","6,316,791","139,129","15,605",$4.55,$204.72,"$1,825.18"
Buproban ,Bupropion HCl ,1,"$6,739.91","12,398",210,138,$0.54,$32.09,$48.84
Bupropion HCl ,Bupropion HCl ,5,"$24,911,370.26","51,165,167","708,706","164,346",$0.49,$35.15,$151.58
Bupropion HCl SR ,Bupropion HCl ,10,"$53,231,452.12","155,915,693","2,197,800","503,956",$0.34,$24.22,$105.63
Bupropion XL ,Bupropion HCl ,11,"$137,559,612.17","179,841,592","3,690,283","693,639",$0.77,$37.28,$198.32
Buspirone HCl ,Buspirone HCl ,7,"$58,844,226.13","305,782,013","3,609,267","687,313",$0.20,$16.30,$85.61
Butalb-Acetaminoph-Caff-Codein ,Butalbit/Acetamin/Caff/Codeine ,1,"$2,855,086.13","769,829","10,887","3,469",$3.71,$262.25,$823.03
Butalb-Caff-Acetaminoph-Codein ,Butalbit/Acetamin/Caff/Codeine ,4,"$3,620,621.46","3,903,250","48,783","11,447",$0.93,$74.22,$316.29
Butalbital Compound-Codeine ,Codeine/Butalbital/Asa/Caffein ,2,"$3,605,905.17","2,437,108","29,928","6,128",$1.48,$120.49,$588.43
Butalbital-Acetaminophen ,Butalbital/Acetaminophen ,1,"$705,166.87","624,811","9,357","3,745",$1.13,$75.36,$188.30
Butalbital-Acetaminophen-Caffe ,Butalb/Acetaminophen/Caffeine ,7,"$34,462,298.38","44,478,884","709,239","190,641",$0.78,$48.59,$180.77
Butalbital-Aspirin-Caffeine ,Butalbital/Aspirin/Caffeine ,2,"$4,861,223.34","5,053,592","78,229","23,089",$0.96,$62.14,$210.54
Butisol Sodium ,Butabarbital Sodium ,1,"$228,909.27","58,529",790,160,$3.91,$289.76,"$1,430.68"
Butorphanol Tartrate ,Butorphanol Tartrate ,4,"$3,377,631.23","257,547","44,419","5,035",$13.83,$76.04,$670.83
Butrans ,Buprenorphine ,1,"$92,091,895.90","928,108","227,499","52,489",$98.87,$404.80,"$1,754.50"
Bydureon ,Exenatide Microspheres ,1,"$64,569,696.20","467,450","87,283","19,104",$138.13,$739.77,"$3,379.90"
Bydureon Pen ,Exenatide Microspheres ,1,"$172,234,006.41","1,237,182","239,955","55,373",$139.21,$717.78,"$3,110.43"
Byetta ,Exenatide ,1,"$106,234,962.55","388,743","127,011","27,331",$304.17,$836.42,"$3,886.98"
Bystolic ,Nebivolol HCl ,4,"$348,757,615.18","99,143,729","1,904,431","346,904",$3.52,$183.13,"$1,005.34"
C-Nate DHA ,PNV 11/Iron Fum/Folic Acid/Om3 ,1,"$6,398.96","3,780",102,49,$1.69,$62.73,$130.59
Cabergoline ,Cabergoline ,5,"$8,500,584.66","800,784","62,752","12,043",$10.61,$135.46,$705.85
Caduet ,Amlodipine/Atorvastatin ,1,"$4,086,377.35","341,944","5,776","1,219",$11.92,$707.48,"$3,352.24"
Cafergot ,Ergotamine Tartrate/Caffeine ,1,"$672,182.34","52,859","1,144",478,$12.72,$587.57,"$1,406.24"
Calan ,Verapamil HCl ,1,"$68,764.10","24,030",182,37,$2.91,$377.82,"$1,858.49"
Calan SR ,Verapamil HCl ,1,"$1,396,763.90","236,156","3,386",869,$5.97,$412.51,"$1,607.32"
Calcipotriene ,Calcipotriene ,8,"$44,217,264.81","10,841,368","120,991","48,880",$4.04,$365.46,$904.61
Calcipotriene-Betamethasone Dp ,Calcipotriene/Betamethasone ,2,"$9,368,422.92","1,210,446","10,589","5,498",$7.82,$884.73,"$1,703.97"
Calcitonin-Salmon ,"Calcitonin,Salmon,Synthetic ",3,"$19,624,663.18","1,488,345","317,914","84,998",$13.19,$61.73,$230.88
Calcitrene ,Calcipotriene ,1,"$182,210.48","44,750",386,258,$4.07,$472.05,$706.24
Calcitriol ,Calcitriol ,10,"$36,106,383.13","55,359,944","1,258,260","273,304",$0.64,$28.70,$132.11
Calcium Acetate ,Calcium Acetate ,9,"$67,895,392.97","153,548,289","674,821","153,287",$0.45,$100.61,$442.93
Cambia ,Diclofenac Potassium ,1,"$4,169,130.40","83,798","6,620","2,298",$49.75,$629.78,"$1,814.24"
Camila ,Norethindrone ,1,"$109,163.71","205,983","5,561","1,427",$0.53,$19.63,$76.50
Camrese ,L-Norgest/E.Estradiol-E.Estrad ,1,"$316,331.91","205,333","2,311","1,010",$1.54,$136.88,$313.20
Camrese Lo ,L-Norgest/E.Estradiol-E.Estrad ,1,"$109,168.94","60,725",660,257,$1.80,$165.41,$424.78
Canasa ,Mesalamine ,2,"$41,498,496.23","1,404,989","41,749","16,499",$29.54,$994.00,"$2,515.21"
Cancidas ,Caspofungin Acetate ,1,"$2,367,438.79","172,701","1,178",253,$13.66,"$2,009.71","$9,357.47"
Candesartan Cilexetil ,Candesartan Cilexetil ,3,"$21,727,311.45","10,585,285","186,217","38,714",$2.06,$116.68,$561.23
Candesartan-Hydrochlorothiazid ,Candesartan/Hydrochlorothiazid ,3,"$6,184,989.47","2,695,596","45,454","10,543",$2.30,$136.07,$586.64
Cantil ,Mepenzolate Bromide ,1,"$47,247.47","22,875",206,70,$2.07,$229.36,$674.96
Capacet ,Butalb/Acetaminophen/Caffeine ,1,"$31,379.68","30,798",558,266,$1.02,$56.24,$117.97
Capecitabine ,Capecitabine ,1,"$291,413.97","12,123",146,66,$24.04,"$1,995.99","$4,415.36"
Capex Shampoo ,Fluocinolone Acetonide ,1,"$490,668.05","153,975","1,160",739,$3.19,$422.99,$663.96
Caprelsa ,Vandetanib ,1,"$10,324,338.94","35,483",881,140,$317.28,"$11,718.89","$73,745.28"
Captopril ,Captopril ,4,"$34,778,680.86","31,733,301","304,326","59,539",$1.07,$114.28,$584.13
Captopril-Hydrochlorothiazide ,Captopril/Hydrochlorothiazide ,1,"$2,820,073.95","1,778,664","22,041","4,575",$1.57,$127.95,$616.41
Carac ,Fluorouracil ,1,"$5,768,602.01","71,314","2,038","1,645",$80.89,"$2,830.52","$3,506.75"
Carafate ,Sucralfate ,1,"$90,882,661.65","248,500,843","369,556","142,130",$0.37,$245.92,$639.43
Carbamazepine ,Carbamazepine ,10,"$88,677,585.90","161,748,590","1,141,725","173,152",$0.64,$77.67,$512.14
Carbamazepine ER ,Carbamazepine ,7,"$75,001,311.72","47,383,911","480,017","67,720",$1.66,$156.25,"$1,107.52"
Carbatrol ,Carbamazepine ,1,"$6,382,179.02","3,597,578","28,269","3,501",$1.77,$225.77,"$1,822.96"
Carbidopa ,Carbidopa ,2,"$10,274,812.23","1,397,805","12,031","2,723",$7.34,$854.03,"$3,773.34"
Carbidopa-Levodopa ,Carbidopa/Levodopa ,12,"$79,078,193.82","438,868,701","2,673,410","448,644",$0.18,$29.58,$176.26
Carbidopa-Levodopa ER ,Carbidopa/Levodopa ,7,"$29,989,682.55","65,923,586","567,269","101,425",$0.46,$52.87,$295.68
Carbidopa-Levodopa-Entacapone ,Carbidopa/Levodopa/Entacapone ,4,"$35,605,555.82","17,054,085","123,920","17,390",$2.09,$287.33,"$2,047.47"
Carbinoxamine Maleate ,Carbinoxamine Maleate ,3,"$102,211.41","201,118","3,077","1,414",$0.51,$33.22,$72.29
Carboplatin ,Carboplatin ,3,"$125,936.84","109,253","2,040",634,$1.16,$61.73,$198.64
Cardizem ,Diltiazem HCl ,1,"$551,445.05","73,328",526,114,$7.64,"$1,048.37","$4,837.24"
Cardizem CD ,Diltiazem HCl ,1,"$10,243,701.84","319,121","5,125","1,242",$33.76,"$1,998.77","$8,247.75"
Cardizem La ,Diltiazem HCl ,1,"$5,076,994.23","1,595,987","23,345","6,776",$3.27,$217.48,$749.26
Cardura ,Doxazosin Mesylate ,1,"$1,097,758.53","326,840","4,732",998,$3.37,$231.99,"$1,099.96"
Cardura XL ,Doxazosin Mesylate ,1,"$658,460.06","173,447","3,418",941,$3.79,$192.64,$699.75
Carefine Pen Needle ,"Pen Needle, Diabetic ",1,"$81,707.96","263,305","2,018","1,089",$0.31,$40.49,$75.03
Carimune NF Nanofiltered ,Immun Globg(IgG)/Sucr/IgA Ov50 ,1,"$2,549,729.64","4,701",466,44,$542.42,"$5,471.52","$57,948.40"
Carisoprodol ,Carisoprodol ,8,"$6,898,261.95","58,576,065","703,039","157,996",$0.13,$9.81,$43.66
Carisoprodol Compound ,Carisoprodol/Aspirin ,1,"$17,279.46","9,550",55,21,$1.81,$314.17,$822.83
Carisoprodol Compound-Codeine ,Carisoprodol/Aspirin/Codeine ,1,"$26,705.72","15,298",179,47,$1.75,$149.19,$568.21
Carisoprodol-Aspirin ,Carisoprodol/Aspirin ,1,"$23,210.73","15,335",161,55,$1.51,$144.17,$422.01
Carisoprodol-Aspirin-Codeine ,Carisoprodol/Aspirin/Codeine ,1,"$36,049.95","20,178",204,53,$1.79,$176.72,$680.19
Carnitor ,Levocarnitine ,1,"$283,820.64","373,628","1,939",603,$0.83,$146.37,$470.68
Carnitor ,Levocarnitine (With Sugar) ,1,"$45,387.93","169,376",264,85,$0.27,$171.92,$533.98
Carnitor SF ,Levocarnitine ,1,"$29,490.82","88,997",141,37,$0.33,$209.15,$797.05
Carteolol HCl ,Carteolol HCl ,2,"$452,991.75","244,530","25,445","6,279",$1.85,$17.80,$72.14
Cartia Xt ,Diltiazem HCl ,1,"$60,116,382.91","111,428,456","1,744,056","432,001",$0.54,$34.47,$139.16
Carvedilol ,Carvedilol ,17,"$119,183,365.29","1,519,025,063","15,155,749","2,827,111",$0.08,$7.86,$42.16
Casodex ,Bicalutamide ,1,"$480,934.57","27,865",635,138,$17.26,$757.38,"$3,485.03"
Catapres ,Clonidine HCl ,1,"$896,302.41","313,097","2,618",534,$2.89,$342.36,"$1,678.47"
Catapres-Tts 1 ,Clonidine ,1,"$469,162.30","9,301","1,650",388,$50.44,$284.34,"$1,209.18"
Catapres-Tts 2 ,Clonidine ,1,"$1,796,599.96","20,847","3,356",635,$86.18,$535.34,"$2,829.29"
Catapres-Tts 3 ,Clonidine ,1,"$2,955,488.92","25,001","3,959",753,$118.21,$746.52,"$3,924.95"
Cayston ,Aztreonam Lysine ,1,"$24,752,080.42","269,976","3,209",948,$91.68,"$7,713.33","$26,109.79"
Caziant ,Desogestrel-Ethinyl Estradiol ,1,"$13,903.78","18,536",450,88,$0.75,$30.90,$158.00
Cedax ,Ceftibuten ,1,"$35,962.56","1,136",82,56,$31.66,$438.57,$642.19
Cefaclor ,Cefaclor ,4,"$860,296.68","539,517","18,426","12,224",$1.63,$46.69,$70.38
Cefaclor ER ,Cefaclor ,1,"$33,799.09","2,980",151,126,$11.34,$223.84,$268.25
Cefadroxil ,Cefadroxil ,7,"$2,667,373.24","4,697,502","205,095","156,534",$0.57,$13.01,$17.04
Cefazolin Sodium ,Cefazolin Sodium ,9,"$2,293,754.31","3,300,704","37,180","10,694",$0.89,$61.69,$214.49
Cefazolin Sodium-Dextrose ,"Cefazolin Sodium/Dextrose,Iso ",2,"$127,744.40","635,921","1,564",548,$0.48,$81.68,$233.11
Cefdinir ,Cefdinir ,9,"$28,592,185.48","19,442,329","996,961","809,869",$1.51,$28.68,$35.30
Cefepime ,Cefepime In Iso-Osm Dextrose ,1,"$1,365,629.52","2,510,470","5,227","1,823",$0.57,$261.26,$749.11
Cefepime HCl ,Cefepime HCl ,7,"$7,333,116.43","4,576,896","47,411","18,351",$1.68,$154.67,$399.60
Cefepime-Dextrose ,Cefepime HCl In Dextrose 5 % ,1,"$215,724.03","69,254","1,309",660,$3.14,$164.80,$326.85
Cefixime ,Cefixime ,2,"$638,409.24","110,942","1,081",843,$5.90,$590.57,$757.31
Cefoxitin ,Cefoxitin Sodium ,5,"$428,256.68","698,252","2,046",563,$1.17,$209.31,$760.67
Cefpodoxime Proxetil ,Cefpodoxime Proxetil ,3,"$12,615,572.86","2,440,809","143,277","114,776",$5.31,$88.05,$109.91
Cefprozil ,Cefprozil ,6,"$2,107,799.06","1,274,942","56,801","46,651",$1.85,$37.11,$45.18
Ceftazidime ,Ceftazidime ,4,"$1,863,058.82","2,203,797","17,397","7,002",$0.98,$107.09,$266.08
Ceftazidime ,Ceftazidime In Dextrose5%Water ,1,"$15,024.51","11,726",91,46,$1.28,$165.10,$326.62
Ceftibuten ,Ceftibuten ,1,"$114,201.01","4,645",297,224,$24.59,$384.52,$509.83
Ceftin ,Cefuroxime Axetil ,1,"$614,005.47","219,982","1,664","1,311",$5.09,$368.99,$468.35
Ceftriaxone ,Ceftriaxone In Is-Osm Dextrose ,2,"$1,222,844.06","2,551,870","12,786","5,993",$0.61,$95.64,$204.05
Ceftriaxone ,Ceftriaxone Sodium ,13,"$15,319,746.85","6,419,766","294,526","157,375",$2.47,$52.01,$97.35
